41;Republika Estońska K;Tallin, Ambasada RP;Suur-Karja 1/Vana Turg 2/4;10140 Tallinn;59.4364745;24.7464462
42;Federalna Demokratyczna Republika Etiopii K;Addis Abeba, Ambasada RP;Dej. Balay Zeleke Road Gulele Sub City, Kebele 08, House no. 583;27207/1000 Addis Ababa;8.9806034;38.7577605
43;Republika Finlandii K;Helsinki, Ambasada RP;Armas Lindgrenin tie 21;00570 Helsinki;60.1799862;25.0161946
44;Republika Francuska;Paryż I, Ambasada RP;57, rue Saint-Dominique;75007 Paris;48.8592173;2.3154392
45;Republika Francuska;Paryż II, Ambasada RP;57, rue Saint-Dominique;75007 Paris;48.8592173;2.3154392
46;Republika Francuska K;Paryż III, Wydział Promocji Handlu i Inwestycji Ambasady RP;86, rue de la Faisanderie;75116 Paris;48.8668888;2.2742513
47;Republika Francuska;Aulnay-sous-Bois, Ecole Anatole France;43/45, rue Anatole France;93600 Aulnay-sous-Bois;48.9368305;2.4942675
48;Republika Francuska;Lille, La Halle aux Sucres;1, rue de l’Entrepôt;59000 Lille;50.6438093;3.0598863
49;Republika Francuska;Strasburg, Stałe Przedstawicielstwo RP przy Radzie Europy;2, rue Geiler;67000 Strasbourg;48.5879296;7.764214399999999
50;Republika Francuska K;Lyon, Konsulat Generalny RP;79, rue Crillon;69458 Lyon cedex 06;45.764043;4.835659
51;Republika Francuska;Tuluza, lokal Aldona Kaluza Consulting;19, rue Héliot;31000 Toulouse;43.60783780000001;1.4496141
52;Republika Grecka K;Ateny, Ambasada RP;Kontoleontos 1;154 52 Paleo Psichikο;37.983917;23.7293599
53;Republika Grecka;Heraklion, Konsulat RP*;1821 Str. 39;712 01 Iraklio, Kriti;35.337249;25.1333357
54;Republika Grecka;Saloniki, Konsulat RP*;Tsimiski 78;546 22 Thessaloniki;40.6308276;22.9458583
55;Gruzja K;Tbilisi, Europe House Georgia;2 Shalva Dadiani;Tbilisi 0105;41.6927749;44.802014
56;Królestwo Hiszpanii K;Madryt, Ambasada RP;Avenida Miraflores, 50;28035 Madrid;40.4711442;-3.7321552
57;Królestwo Hiszpanii K;Madryt, Wydział Konsularny Ambasady RP;C/Goya 15 4°;28001 Madrid;40.42547;-3.687372
58;Królestwo Hiszpanii;Madryt, Instytut Polski;C/ Felipe IV, 12, bajo A;28014 Madrid;40.4156747;-3.6952896
59;Królestwo Hiszpanii;Pampeluna, Konsulat RP*;Avenida Pío XII, 1, 5ª planta;31002 Pamplona;42.8142568;-1.6432837
60;Królestwo Hiszpanii;Walencja, Konsulat RP*;Avenida de las Cortes Valencianas nº26 esc. Der.  planta 2ª, oficina 7;46015 Valencia;39.4796937;-0.3990622
61;Królestwo Hiszpanii;Malaga, Konsulat RP*;C/ Cortina del Muelle nº5, 4º Derecha;29015 Málaga;36.7203407;-4.419495
62;Królestwo Hiszpanii;Teneryfa, Wyspy Kanaryjskie;Centro Comercial San Eugenio 46A Playa de Las Américas;38678 Adeje;28.1326752;-16.7647475
63;Królestwo Hiszpanii;Las Palmas de Gran Canaria, Konsulat RP*;C/Triana, 104, 5°D;35002 Las Palmas de Gran Canaria;28.1050045;-15.4170583
64;Królestwo Hiszpanii K;Barcelona, Konsulat Generalny RP;Av. Diagonal, 593-595;08014 Barcelona;41.3877803;2.1305496
65;Republika Indii K;New Delhi, Ambasada RP;50M Shantipath, Chanakyapuri;110021 New Delhi;28.6002719;77.19528819999999
66;Republika Indii K;Mumbaj, Konsulat Generalny RP;Nirmal Building 11 A, 11th Floor 241/242 Backbay Reclamation;Nariman Point, Mumbai 400021;18.9255728;72.8242221
67;Republika Indonezji K;Dżakarta, Ambasada RP;Jalan H.R Rasuna Said Kav. X Blok IV/3;Jakarta Selatan 12950;-6.2297867;106.8325872
68;Republika Iraku K;Irbil, Agencja Konsularna RP;Junction of Texas and Hawaii Street, 250, American;Village, Khanzad, Irbil;36.3142001;44.1610478
69;Islamska Republika Iranu K;Teheran, Ambasada RP;Nelson Mandela Blvd, Pirouz street no. 2 PO Box 11155-3489;19-174 Teheran;35.696111;51.423056
70;Republika Irlandii K;Dublin I, RDS – Royal Dublin Society;Merrion Road Ballsbridge;Dublin 4;53.3292171;-6.2307923
71;Republika Irlandii K;Dublin II, RDS – Royal Dublin Society;Merrion Road Ballsbridge;Dublin 4;53.3292171;-6.2307923
72;Republika Irlandii K;Dublin III, RDS – Royal Dublin Society;Merrion Road Ballsbridge;Dublin 4;53.3292171;-6.2307923
73;Republika Irlandii K;Dublin IV, RDS – Royal Dublin Society;Merrion Road Ballsbridge;Dublin 4;53.3292171;-6.2307923
74;Republika Irlandii;Cork I, Cork City Hall;Millennium Hall Foyer Eglinton Street;Cork;51.897142,-8.465481
75;Republika Irlandii;Cork II, Cork City Hall;Millennium Hall Foyer Eglinton Street;Cork;51.897142,-8.465481
76;Republika Irlandii;Galway, Holy Trinity National School;Walter Macken Road Mervue;Galway;53.2835818;-9.0167792
77;Republika Islandii K;Reykjavik, Ambasada RP;Þórunnartún 2;105 Reykjavík;64.14524539999999;-21.9104638
78;Państwo Izrael K;Tel Awiw, Ambasada RP;Soutine 16;64-864 Tel Aviv;32.0852999;34.78176759999999
79;Japonia K;Tokio, Ambasada RP;2-13-5 Mita, Meguro – ku;153-0062 Tokyo;35.640905;139.7112672
80;Jordańskie Królestwo Haszymidzkie K;Amman, Ambasada RP;3 Mahmoud Seif Al-Din Al-Irani Street;11194 Amman;31.9565783;35.9456951
81;Kanada K;Ottawa, Ambasada RP;443 Daly Avenue;Ottawa, ON, K1N 6H3;45.4320617;-75.6741938
82;Kanada K;Montreal, Konsulat RP;3501, Avenue du Musée;Montreal, QC H3G 2C8;45.5004528;-73.5826481
83;Kanada K;Toronto I, Konsulat Generalny RP;2603 Lake Shore Boulevard West;Toronto, ON, M8V 1G5;43.6059432;-79.49022189999999
84;Kanada;Toronto II, Konsulat Generalny RP;2603 Lake Shore Boulevard West;Toronto, ON, M8V 15G;43.6059432;-79.49022189999999
85;Kanada;Saskatoon, Konsulat RP*;103, 39-23rd Street East;Saskatoon, SK, S7K 0H6;52.1309418;-106.6680987
86;Kanada;Winnipeg, Konsulat RP*;219 Marion Street;Winnipeg, MB, R2H 0T5;49.8817039;-97.11841079999999
87;Kanada K;Vancouver, Konsulat Generalny RP;1600-1177 West Hastings Street;Vancouver, BC, V6E 2K3;49.288738;-123.1216977
88;Kanada;Edmonton, Konsulat RP*;107-4990 92nd Avenue;Edmonton, AB, T6B 2V4;53.5272267;-113.4175635
89;Kanada;Calgary, Konsulat RP*;6224 29th Street SE;Calgary, AB, T2C 1W3;50.99589570000001;-113.9880327
90;Państwo Katar K;Doha, Ambasada RP;Al-Qutaifiya 66, Str. No. 519, Saha 49;PO Box 23380, Doha;25.2916097;51.5304368
91;Republika Kazachstanu K;Astana, Ambasada RP;Saryarka 15, Business Center „Isker”;010000 Astana;51.16052269999999;71.47035579999999
92;Republika Kazachstanu K;Ałmaty, Konsulat Generalny RP;Dżarkentska/Iskanderova 9-11/13, Gornyj Gigant;050059 Almaty;43.2220146;76.8512485
93;Republika Kenii K;Nairobi, Ambasada RP;58 Red Hill Road (off Limuru Road);00100 Nairobi, P.O. Box 30086;33.81;-84.17
94;Republika Kolumbii K;Bogota, Ambasada RP;Carrera 21 bis No. 104 A – 15;Bogotá;4.598056000000001;-74.075833
95;Republika Korei K;Seul, Ambasada RP;Samcheong-ro 20-1, Jongno-gu,;Seoul, 110-190;37.577344;126.9801307
96;Koreańska Republika Ludowo-Demokratyczna K;Pjongjang, Ambasada RP;Taedonggang – Munsudong District;Pyongyang;39.0392193;125.7625241
97;Republika Kosowa;Novo Selo;Camp Maréshal de Lattre de Tassigny;Novo Selo/Maxhunaj;42.785091;21.032628
98;Republika Kuby K;Hawana, Ambasada RP;Avenida de los Presidentes 452;Vedado, 10400 La Habana;23.159167;-82.271056
99;Państwo Kuwejt K;Kuwejt, Ambasada RP;Al-Jabriya, Area 7, Street 3, Villa 20;13051 Kuwait;29.321468;48.038099
100;Republika Libańska K;Bejrut, Ambasada RP;Av. President Suleiman Frangieh 52;Baabda;33.8337971;35.544145
101;Republika Litewska K;Wilno, Ambasada RP;Smėlio 20a;LT-10323 Vilnius;54.7031882;25.3127596
102;Wielkie Księstwo Luksemburga K;Luksemburg, Ambasada RP;24, rue Guillaume Schneider;L-2522 Luxembourg;49.6207202;6.125719699999999
103;Republika Łotewska K;Ryga, Ambasada RP;Mednieku iela 6b;LV 1010 Rīga,;56.9602655;24.1072969
104;Republika Macedonii K;Skopje, Ambasada RP;Dimitar Pandilov 2a;1000 Skopje;41.9899875;21.4108982
105;Malezja K;Kuala Lumpur, Ambasada RP;No 10 Lorong Damai 9, Off Jalan Damai;55000 Kuala Lumpur;3.1630358;101.7238049
106;Królestwo Marokańskie K;Rabat, Ambasada RP;23, Avenue Oqbah BP. 425;10 000 Rabat - Agdal;33.993633;-6.849072
107;Królestwo Marokańskie;Agadir, Hotel Kenzi Europa;Boulevard du 20 Août B.P. 808;80010 Agadir;30.4277547;-9.598107199999999
108;Meksykańskie Stany Zjednoczone K;Meksyk, Ambasada RP;c. Cracovia 40, Colonia San ÁngelDelegación Álvaro Obregón;01000 Ciudad De Mexico;19.3465231;-99.19128970000001
109;Republika Mołdawii K;Kiszyniów, Wydział Konsularny Ambasady RP;V. Alecsandri 101;MD-2019 Chişinău;47;28.916667
110;Królestwo Niderlandów K;Haga I, Ambasada RP;Alexanderstraat 25;2514 JM Den Haag;52.0875108;4.3037749
111;Królestwo Niderlandów;Haga II, Ambasada RP;Alexanderstraat 25;2514 JM Den Haag;52.0875108;4.3037749
112;Królestwo Niderlandów;Amsterdam, Niderlandzki Dom Polski;Keizersgracht 174-176;1016 DW Amsterdam;52.375334;4.8854563
113;Królestwo Niderlandów;Breda, Polska Parafia przy Kościele Laurentius;Ginnekenweg 333;4835 ND Breda;51.5682215;4.7847079
114;Republika Federalna Niemiec;Berlin I, Ambasada RP;Lassenstr. 19 – 21;14193 Berlin;52.4844966;13.2766247
115;Republika Federalna Niemiec K;Berlin II, Ambasada RP;Richard-Strauss-Str. 11;14193 Berlin;52.4839999;13.2773005
116;Republika Federalna Niemiec;Berlin III, Instytut Polski;Burgstr. 27;10178 Berlin;52.52143179999999;13.4008016
117;Republika Federalna Niemiec;Lipsk, Instytut Polski w Berlinie - Filia w Lipsku;Markt 10;04109 Lipsk;51.340653;12.3739935
118;Republika Federalna Niemiec K;Hamburg I, Konsulat Generalny RP;Gründgensstrasse 20;22309 Hamburg;53.6104136;10.0559167
119;Republika Federalna Niemiec;Hamburg II, Konsulat Generalny RP;Gründgensstrasse 20;22309 Hamburg;53.6104136;10.0559167
120;Republika Federalna Niemiec K;Kolonia I, Konsulat Generalny RP;Im MediaPark 5c;50670 Köln;50.94862;6.94484
121;Republika Federalna Niemiec K;Kolonia II, Konsulat Generalny RP;Im MediaPark 5c;50670 Köln;50.94862;6.94484
122;Republika Federalna Niemiec K;Kolonia III, Konsulat Generalny RP;Im MediaPark 5c;50670 Köln;50.94862;6.94484
123;Republika Federalna Niemiec K;Kolonia IV, Konsulat Generalny RP;Im MediaPark 5c;50670 Köln;50.94862;6.94484
124;Republika Federalna Niemiec;Düsseldorf, Instytut Polski;Citadellstraße 7;40213 Düsseldorf;51.2235115;6.770594099999999
125;Republika Federalna Niemiec;Monachium I, Konsulat Generalny RP;Röntgenstrasse 5;81679 München;48.1440135;11.6074275
126;Republika Federalna Niemiec K;Monachium II, Konsulat Generalny RP;Röntgenstrasse 5;81679 München;48.1440135;11.6074275
127;Federalna Republika Nigerii K;Abudża, Ambasada RP;10, River Niger St., off Danube St.;Maitama, Abuja;9.1017891;7.496716299999999
128;Królestwo Norwegii K;Oslo, Wydział Promocji Handlu i Inwestycji Ambasady RP;Uranienborg terrasse 11;0351 Oslo;59.9230207;10.7238519
129;Królestwo Norwegii;Oslo, Wydział Promocji Handlu i Inwestycji Ambasady RP;Uranienborg terrasse 11;0351 Oslo;59.9230207;10.7238519
130;Królestwo Norwegii;Bergen, Szkoła Katolicka Św. Pawła;Christies gate 16;5015 Bergen;60.3887897;5.3235906
131;Królestwo Norwegii;Stavanger, Parafia Katolicka Św. Svithuna,;St. Olavs gate 25;4005 Stavanger;58.9657191;5.730426400000001
132;Królestwo Norwegii;Trondheim, Omega Accounting AS & Polish Connection;Kjøpmannsgata 52;7010 Trondheim;63.43456819999999;10.4049526
133;Nowa Zelandia K;Wellington, Ambasada RP;Level 9, City Chambers 142-144 Featherston Street;Wellington;-41.2831775;174.7770339
134;Islamska Republika Pakistanu K;Islamabad, Ambasada RP;Diplomatic Enclave II, Str. 24, G-5/4;44000 Islamabad, P.O. Box 1032;33.7293882;73.0931461
135;Republika Peru K;Lima, Ambasada RP;Avenida Salaverry 1978;Jesús María - Lima 11;-12.08721;-77.05010709999999
136;Republika Portugalska K;Lizbona, Ambasada RP;Avenida das Descobertas 2;1400-092 Lisboa;38.7037793;-9.2165675
137;Republika Południowej Afryki K;Pretoria, Ambasada RP;14 Amos Street;Colbyn 0083;-25.738717;28.237864
138;Republika Południowej Afryki;Durban, Konsulat RP*;3 Chase Place;Westville 3629;-29.83111;30.908931
139;Republika Południowej Afryki;Kapsztad, Visegrad House;2 Fleetwood Avenue;Claremont 7708;-33.990554;18.455881
140;Federacja Rosyjska K;Moskwa, Wydział Konsularny Ambasady RP;Klimashkina 4;115127 Moskva;55.767613;37.577505
141;Federacja Rosyjska K;Irkuck, Konsulat Generalny RP;Suche-Batora 18;664003 Irkutsk;52.2830922;104.2859011
142;Federacja Rosyjska K;Kaliningrad, Konsulat Generalny RP;Kashtanovaya Alleya 51;236000 Kaliningrad;54.716667;20.516667
143;Federacja Rosyjska K;Sankt Petersburg, Konsulat Generalny RP;5 Sovietskaya 12/14;191036 Sankt-Peterburg;59.9342802;30.3350986
144;Federacja Rosyjska K;Smoleńsk, Agencja Konsularna RP;Mira 1;214014 Smolensk;54.77796069999999;32.0580781
145;Rumunia K;Bukareszt, Ambasada RP;Aleea Alexandru 23;011821, sector 1, București;44.45701210000001;26.0895708
146;Republika Serbii K;Belgrad, Ambasada RP;Kneza Miloša 38;11000 Beograd;44.786568;20.4489216
147;Republika Singapuru K;Singapur, Ambasada RP;435 Orchard Road #17-02/03 Wisma Atria;Singapore 238877;1.30351;103.833056
148;Republika Słowacka K;Bratysława, Ambasada RP;Hummelova 4;814 91 Bratislava;48.1470362;17.0918106
149;Republika Słowenii K;Lublana, Ambasada RP;Bežigrad 10;1000 Ljubljana;46.0641119;14.5062454
150;Stany Zjednoczone Ameryki K;Waszyngton, Ambasada RP – Wydział Konsularny;2224 Wyoming Avenue NW;Washington, DC 20008;38.916525;-77.050309
151;Stany Zjednoczone Ameryki;Pompano Beach, Polska Misja Katolicka;2400 NE 12th Street;Pompano Beach, FL 33062;26.24598;-80.09907699999999
152;Stany Zjednoczone Ameryki K;Nowy Jork, Konsulat Generalny RP;233 Madison Avenue (Jan Karski Corner);New York, NY 10016;40.74727;-73.9800645
153;Stany Zjednoczone Ameryki;Nowy Jork, Centrum Polsko-Słowiańskie;177 Kent Street;Brooklyn, NY 11222;40.731193;-73.953586
154;Stany Zjednoczone Ameryki;Nowy Jork, Polski Dom Narodowy;261 Driggs Avenue;Brooklyn, NY 11222;40.7224876;-73.94839189999999
155;Stany Zjednoczone Ameryki;Nowy Jork, Centrum Parafialne Parafii Św. Alojzego;382 Onderdonk Avenue;Ridgewood, NY 11385;40.7077529;-73.9138739
156;Stany Zjednoczone Ameryki;Passaic, Polsko-Amerykańskie Centrum Kulturalne;1-3 Monroe Street;Passaic, NJ 07055;40.868298;-74.114823
157;Stany Zjednoczone Ameryki;New Britain, Haller Post;112 Grove Street;New Britain, CT 06053;41.672938;-72.788021
158;Stany Zjednoczone Ameryki;Filadelfia, Stowarzyszenie Domu Polskiego;9150 Academy Road;Philadelphia, PA 19114;40.0553851;-75.00851349999999
159;Stany Zjednoczone Ameryki K;Los Angeles, Konsulat Generalny RP;12400 Wilshire Blvd, Suite 555;Los Angeles, CA 90025;34.0417504;-118.4698279
160;Stany Zjednoczone Ameryki;San Francisco, Konsulat RP*;785 Market Street, 6th Floor;San Francisco, CA 94103;37.7726402;-122.4099154
161;Stany Zjednoczone Ameryki;Houston, Parafia pod wezwaniem Matki Boskiej Częstochowskiej;1731 Blalock Road;Houston, TX 77080;29.80439029999999;-95.5250923
162;Stany Zjednoczone Ameryki;Phoenix, Polska Parafia pod wezwaniem Matki Bożej Częstochowskiej;2828 W Country Gables Drive;Phoenix, AZ 85053;33.6193499;-112.1193568
163;Stany Zjednoczone Ameryki;Seattle, Towarzystwo Domu Polskiego;1714 18th Avenue;Seattle, WA 98122;47.6169424;-122.308338
164;Stany Zjednoczone Ameryki;Portland, Towarzystwo Biblioteki Polskiej;3832 N. Interstate Avenue;Portland, OR 97227;45.5461375;-122.6766628
165;Stany Zjednoczone Ameryki;Denver, Polski Klub w Denver;3121 W. Alameda Avenue;Denver, CO 80219;39.6961606;-105.0382076
166;Stany Zjednoczone Ameryki K;Chicago, Konsulat Generalny RP;1530 North Lake Shore Drive;Chicago, IL 60610;41.9003099;-87.63338710000001
167;Stany Zjednoczone Ameryki;Chicago, Dom Podhalan ZPPA;4808 S. Archer Ave.;Chicago, IL 60632;41.80619;-87.717619
168;Stany Zjednoczone Ameryki;Chicago, Związek Narodowy Polski;6100 N. Cicero Avenue;Chicago, IL 60646;41.9919859;-87.74913789999999
169;Stany Zjednoczone Ameryki;Chicago, Polska Szkoła im. Tadeusza Kościuszki;5341 N. Harlem Ave.;Chicago, IL 60656;41.9783814;-87.80673999999999
170;Stany Zjednoczone Ameryki;Chicago, Zrzeszenie Nauczycieli Polskich w Ameryce;6544 W. Higgins Ave.;Chicago, IL 60656 170;41.8781136;-87.6297982
171;Stany Zjednoczone Ameryki;Chicago, Bazylika Św. Jacka;3636 W. Wolfram St.;Chicago, IL 60618;41.9331764;-87.7184973
172;Konfederacja Szwajcarska K Berno;Ambasada RP;Elfenstrasse 20a;3006 Bern;46.9381724;7.462560900000001
173;Królestwo Szwecji K Sztokholm;Wydział Konsularny Ambasady RP;Prästgårdsgatan 5;172 32 Sundbyberg;59.3621303;17.9746659
174;Królestwo Szwecji;Malmö, Limhamns Folkets Hus;Linnégatan 61;216 14 Malmö-Limhamn;55.579167;12.920833
175;Królestwo Szwecji;Göteborg, Polonia Center/Związek Polskich Katolików;Säveåns Strandgata 4;415 05 Göteborg;57.72793360000001;12.0087963
176;Królestwo Tajlandii K;Bangkok, Ambasada RP;100/81-82 Vongvanij Building B Rama 9 Road, Huaykwang;Bangkok 10310;13.7720394;100.5915072
177;Republika Tunezyjska K;Tunis, Ambasada RP;le Grand Boulevard de la Corniche;2045 Les Berges du Lac II;33.886917;9.537499
178;Republika Turcji K;Ankara, Ambasada RP;Atatürk Bulvarı 241 Kavaklıdere, PK-20;06650 Ankara;39.92077;32.85411
179;Republika Turcji;Antalya, Konsulat RP*;Fener Mahallesi 1969 Sokak 32/4;07160 Antalya;36.8536825;30.7604875
180;Republika Turcji K;Stambuł, Konsulat Generalny RP;Giz 2000 Plaza, Ayazağa Köyü Yolu No: 7, K. 5;34398 Maslak, İstanbul;41.108889;29.021111
181;Republika Turcji;Izmir, Konsulat RP*;1377 Sokak, Aydıner Apartmanı No: 3/19A;Alsancak/İzmir;38.41885;27.12872
182;Ukraina K;Kijów, Wydział Konsularny Ambasady RP;Bohdana Chmielnickiego 60;01901 Kyiv;50.4501;30.5234
183;Ukraina K;Charków, Konsulat Generalny RP;Artioma 16,;61002 Kharkiv;49.9935;36.230383
184;Ukraina K;Odessa, Konsulat Generalny RP;Uspenska 2/1;65014 Odesa;46.482526;30.7233095
185;Ukraina K;Lwów, Konsulat Generalny RP;vul. Ivana Franka 108;79011 Lviv;49.82689800000001;24.03331
186;Ukraina K;Łuck, Konsulat Generalny RP;Dubniwska 22b;43010 Lutsk;50.7368422;25.3663909
187;Ukraina K;Winnica, Konsulat Generalny RP;Kozytskoho 51;21050 Vinnytsia;49.2329877;28.4716058
188;Republika Uzbekistanu K;Taszkent, Ambasada RP;Firdavsiy ko’ch., 66;100084, Toshkent;41.266667;69.216667
189;Boliwariańska Republika Wenezueli K;Caracas, Ambasada RP;Avenida Nicolás Copérnico, Quinta Ambar Sector Valle Arriba, Urbanizacion Las Mercedes;1060 Caracas;10.4696404;-66.8037185
190;Węgry K;Budapeszt, Ambasada RP;Városligeti fasor 16;1068 Budapest;47.5089169;19.075131
191;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 1, Ambasada RP;47 Portland Place;London, W1B 1JH;51.5204059;-0.1449427
192;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej K;Londyn 2, Ambasada RP;47 Portland Place;London, W1B 1JH;51.5204059;-0.1449427
193;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 3, Wydział Konsularny (stara siedziba);73 New Cavendish Street;London, W1W 6LS;51.5198885;-0.1441554
194;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej K;Londyn 4, Wydział Konsularny (nowa siedziba);10 Bouverie Street;London EC4Y 8AX;51.5134273;-0.1079931
195;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 5, Polski Ośrodek Społeczno-Kulturalny;238-246 Kings Street;London W6 0RF;51.4935233;-0.2374452
196;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 6, Biblioteka Parafialna przy Kościele Chrystusa Króla na Balham;232/234 Balham High Road;London, SW17 7AW;51.4408996;-0.1557072
197;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 7, Windsor Hall przy Polskiej Parafii na Ealingu;2 Windsor Road;London, W5 5PD;51.5130706;-0.3006511
198;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 8, Polska Parafia na Wimbledon-Putney;7 St. John's Hall, Ravenna Road;London SW15 6AW;51.4606734;-0.2197491
199;Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej;Londyn 9, Dom Parafialny przy Kaplicy Matki Bożej Miłosierdzia na Willesden Green;180 Walm Lane;London NW2 3AX;51.55271279999999;-0.2164014
